age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35.0,blue-collar,married,secondary,no,2074,no,no,cellular,6,feb,183.0,4.0,-1.0,0,unknown,no
31.0,management,single,tertiary,no,518,yes,no,cellular,18,may,399.0,1.0,-1.0,0,unknown,no
37.0,admin,divorced,secondary,no,295,yes,yes,cellular,11,may,202.0,3.0,265.0,2,failure,no
58.0,services,married,primary,no,65,no,no,unknown,27,jun,162.0,1.0,-1.0,0,unknown,no
34.0,technician,single,secondary,no,486,yes,no,unknown,27,may,185.0,1.0,-1.0,0,unknown,no
42.0,admin,married,secondary,no,329,no,no,cellular,19,aug,347.0,3.0,-1.0,0,unknown,no
53.0,management,married,secondary,no,4601,yes,no,unknown,20,jun,100.0,4.0,-1.0,0,unknown,no
39.0,admin,divorced,secondary,no,223,yes,yes,cellular,12,may,115.0,2.0,-1.0,0,unknown,no
28.0,technician,single,tertiary,no,172,yes,yes,cellular,3,apr,100.0,14.0,60.0,2,failure,no
55.0,management,married,secondary,no,190,no,no,unknown,9,jun,271.0,2.0,-1.0,0,unknown,no
38.0,management,married,tertiary,no,516,yes,no,telephone,16,apr,198.0,3.0,-1.0,0,unknown,no
29.0,self-employed,married,secondary,no,123,no,yes,cellular,21,apr,158.0,2.0,181.0,1,success,yes
47.0,services,divorced,secondary,no,-1730,yes,yes,cellular,18,may,178.0,3.0,-1.0,0,unknown,no
54.0,management,married,tertiary,no,3795,yes,yes,cellular,17,nov,227.0,2.0,119.0,1,failure,no
51.0,admin,single,tertiary,no,394,no,no,telephone,28,jan,968.0,2.0,-1.0,0,unknown,yes
51.0,management,married,tertiary,no,0,yes,yes,cellular,19,aug,263.0,1.0,84.0,1,unknown,no
21.0,admin,single,secondary,no,325,yes,no,unknown,16,may,467.0,1.0,-1.0,0,unknown,no
57.0,retired,married,tertiary,no,0,no,no,cellular,28,may,141.0,3.0,-1.0,0,unknown,no
26.0,technician,single,secondary,no,3244,no,no,cellular,2,feb,141.0,1.0,5.0,1,failure,no
29.0,management,married,tertiary,no,877,no,no,cellular,3,feb,166.0,3.0,-1.0,0,unknown,no
53.0,technician,divorced,secondary,no,388,yes,yes,cellular,29,jan,67.0,1.0,247.0,1,failure,no
33.0,blue-collar,married,secondary,no,35,yes,no,telephone,20,apr,87.0,1.0,322.0,1,failure,no
52.0,admin,married,secondary,no,-462,yes,no,cellular,9,feb,172.0,5.0,-1.0,0,unknown,no
41.0,services,married,secondary,no,394,yes,no,cellular,5,may,52.0,3.0,-1.0,0,unknown,no
42.0,technician,married,secondary,no,233,no,no,cellular,20,aug,143.0,4.0,-1.0,0,unknown,no
37.0,management,married,tertiary,no,1330,yes,no,unknown,13,may,60.0,1.0,-1.0,0,unknown,no
53.0,unemployed,married,secondary,no,210,yes,no,telephone,21,jul,280.0,3.0,-1.0,0,unknown,no
55.0,self-employed,married,secondary,no,2387,yes,no,cellular,25,jul,155.0,4.0,-1.0,0,unknown,no
38.0,services,married,secondary,no,53,no,no,cellular,4,feb,226.0,1.0,-1.0,0,unknown,no
42.0,management,married,tertiary,no,1220,yes,no,telephone,28,jul,155.0,2.0,-1.0,0,unknown,no
26.0,technician,single,tertiary,no,1972,yes,no,cellular,29,jan,221.0,2.0,-1.0,0,unknown,no
59.0,admin,married,secondary,no,231,no,yes,cellular,17,nov,59.0,1.0,-1.0,0,unknown,no
41.0,management,married,tertiary,no,850,no,no,unknown,6,jun,262.0,2.0,-1.0,0,unknown,no
23.0,admin,single,secondary,no,1358,no,no,cellular,27,may,237.0,2.0,-1.0,0,unknown,no
51.0,technician,married,tertiary,no,0,yes,no,unknown,16,may,330.0,19.0,-1.0,0,unknown,no
31.0,admin,married,secondary,no,413,yes,no,unknown,14,may,574.0,2.0,-1.0,0,unknown,no
57.0,admin,married,secondary,no,0,yes,no,unknown,15,may,215.0,2.0,-1.0,0,unknown,no
19.0,student,single,secondary,no,108,no,no,cellular,9,mar,273.0,2.0,182.0,1,success,yes
59.0,unemployed,married,secondary,no,957,no,no,cellular,8,mar,301.0,1.0,89.0,2,success,yes
51.0,blue-collar,married,secondary,no,4787,yes,no,cellular,7,apr,895.0,1.0,-1.0,0,unknown,yes
44.0,admin,married,secondary,no,2403,yes,no,cellular,28,jan,180.0,2.0,-1.0,0,unknown,no
29.0,management,single,tertiary,no,1739,yes,no,cellular,3,jun,114.0,1.0,-1.0,0,unknown,no
51.0,blue-collar,divorced,secondary,no,104,no,no,cellular,9,jul,71.0,1.0,-1.0,0,unknown,no
26.0,technician,single,tertiary,no,1066,no,no,cellular,4,jun,112.0,1.0,50.0,1,success,no
44.0,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,58.0,1.0,195.0,2,failure,no
48.0,admin,married,secondary,no,13551,no,no,unknown,11,jun,89.0,3.0,-1.0,0,unknown,no
36.0,blue-collar,married,secondary,no,56,no,no,unknown,24,jun,481.0,6.0,-1.0,0,unknown,no
32.0,services,divorced,secondary,no,1156,yes,no,cellular,19,nov,81.0,1.0,182.0,1,failure,no
31.0,blue-collar,single,primary,no,817,yes,no,cellular,17,apr,160.0,1.0,-1.0,0,unknown,no
19.0,student,single,secondary,no,4,no,no,cellular,3,sep,114.0,1.0,-1.0,0,unknown,no
33.0,management,single,tertiary,no,2294,yes,no,cellular,18,may,81.0,1.0,178.0,1,unknown,no
30.0,blue-collar,single,secondary,no,1073,yes,no,cellular,5,may,1130.0,4.0,-1.0,0,unknown,no
32.0,management,married,tertiary,no,71,no,no,cellular,2,feb,75.0,1.0,-1.0,0,unknown,no
28.0,blue-collar,married,primary,no,254,yes,no,cellular,20,apr,149.0,2.0,-1.0,0,unknown,no
25.0,admin,single,secondary,no,61,yes,no,unknown,9,may,345.0,9.0,-1.0,0,unknown,no
50.0,admin,married,secondary,no,546,no,no,cellular,28,jul,82.0,6.0,-1.0,0,unknown,no
38.0,technician,single,secondary,no,2442,no,no,cellular,27,may,161.0,1.0,100.0,3,success,no
35.0,self-employed,married,secondary,no,0,yes,no,telephone,7,jul,126.0,4.0,-1.0,0,unknown,no
28.0,entrepreneur,married,tertiary,no,4064,no,yes,cellular,11,may,93.0,2.0,-1.0,0,unknown,no
38.0,unemployed,married,tertiary,no,2812,yes,no,cellular,30,apr,830.0,1.0,-1.0,0,unknown,yes
41.0,management,single,secondary,no,1259,no,no,unknown,11,jun,177.0,8.0,-1.0,0,unknown,no
46.0,unemployed,married,secondary,no,594,no,no,cellular,4,feb,197.0,2.0,-1.0,0,unknown,no
37.0,blue-collar,married,primary,no,2079,yes,yes,cellular,14,may,299.0,1.0,360.0,2,failure,no
45.0,admin,divorced,secondary,no,857,no,no,telephone,8,jul,49.0,7.0,-1.0,0,unknown,no
58.0,blue-collar,married,secondary,no,25,no,no,unknown,9,jun,486.0,3.0,-1.0,0,unknown,yes
56.0,entrepreneur,married,tertiary,no,1297,yes,no,unknown,16,may,180.0,1.0,-1.0,0,unknown,no
33.0,technician,married,secondary,no,1021,yes,no,unknown,3,jun,361.0,3.0,-1.0,0,unknown,no
36.0,blue-collar,single,primary,no,263,yes,no,cellular,17,apr,199.0,2.0,337.0,2,failure,no
30.0,technician,married,secondary,no,-393,yes,yes,cellular,16,jul,435.0,1.0,-1.0,0,unknown,yes
20.0,student,single,secondary,no,179,no,no,cellular,23,sep,317.0,1.0,182.0,6,failure,no
40.0,technician,married,tertiary,no,84,no,no,cellular,28,aug,715.0,8.0,-1.0,0,unknown,no
43.0,management,married,tertiary,no,1451,yes,no,unknown,20,jun,11.0,12.0,-1.0,0,unknown,no
39.0,housemaid,married,primary,no,0,yes,no,telephone,16,jul,129.0,6.0,-1.0,0,unknown,no
59.0,retired,married,primary,no,0,yes,no,cellular,29,jul,45.0,7.0,-1.0,0,unknown,no
57.0,technician,married,secondary,no,589,yes,no,cellular,2,feb,223.0,1.0,76.0,4,failure,no
41.0,admin,married,secondary,no,14968,no,no,cellular,23,jul,1360.0,4.0,-1.0,0,unknown,yes
35.0,admin,single,secondary,no,507,yes,no,cellular,22,jul,560.0,2.0,-1.0,0,unknown,yes
42.0,self-employed,married,secondary,no,1216,yes,no,cellular,23,apr,296.0,1.0,521.0,1,failure,yes
52.0,entrepreneur,married,secondary,yes,-36,no,yes,cellular,15,jul,199.0,4.0,-1.0,0,unknown,no
34.0,blue-collar,married,secondary,no,262,no,no,cellular,15,sep,89.0,2.0,106.0,1,success,yes
36.0,management,single,tertiary,no,1804,no,no,cellular,7,may,170.0,1.0,366.0,1,unknown,no
56.0,retired,married,secondary,no,230,no,no,cellular,8,sep,167.0,1.0,92.0,2,failure,no
42.0,entrepreneur,married,secondary,no,46,no,no,cellular,2,feb,1013.0,1.0,-1.0,0,unknown,no
33.0,technician,single,secondary,no,261,yes,no,unknown,14,may,622.0,1.0,-1.0,0,unknown,no
44.0,management,married,tertiary,no,-1636,yes,yes,cellular,11,may,257.0,1.0,-1.0,0,unknown,no
33.0,blue-collar,married,secondary,no,2366,yes,no,cellular,11,may,249.0,1.0,356.0,2,failure,no
48.0,blue-collar,married,secondary,no,1730,yes,no,cellular,10,aug,158.0,1.0,102.0,1,success,no
40.0,unemployed,single,tertiary,no,97,yes,yes,cellular,2,feb,73.0,1.0,252.0,1,failure,no
55.0,technician,married,secondary,no,-14,yes,no,cellular,12,may,82.0,4.0,-1.0,0,unknown,no
49.0,entrepreneur,single,secondary,no,5802,no,no,cellular,12,aug,175.0,3.0,104.0,2,success,no
28.0,student,single,tertiary,no,471,yes,no,cellular,6,may,209.0,1.0,-1.0,0,unknown,no
42.0,admin,single,tertiary,no,168,yes,no,cellular,17,jul,295.0,1.0,-1.0,0,unknown,no
30.0,admin,single,secondary,no,219,yes,yes,cellular,18,may,91.0,6.0,-1.0,0,unknown,no
46.0,management,married,tertiary,no,125,yes,no,telephone,12,may,81.0,5.0,-1.0,0,unknown,no
34.0,blue-collar,married,primary,no,571,yes,no,unknown,23,may,202.0,2.0,-1.0,0,unknown,no
41.0,technician,married,tertiary,no,91,no,yes,cellular,29,jul,204.0,3.0,-1.0,0,unknown,no
33.0,technician,married,secondary,no,153,yes,no,unknown,16,may,148.0,2.0,-1.0,0,unknown,no
37.0,blue-collar,married,secondary,no,561,yes,no,cellular,14,may,632.0,1.0,339.0,2,failure,no
23.0,admin,single,secondary,no,21,yes,yes,cellular,14,may,183.0,3.0,-1.0,0,unknown,no
28.0,technician,single,secondary,no,113,no,no,cellular,30,apr,108.0,1.0,-1.0,0,unknown,no
77.0,retired,married,primary,no,2223,no,no,telephone,10,aug,365.0,2.0,187.0,1,success,no
52.0,blue-collar,married,primary,no,1054,no,no,cellular,4,aug,273.0,1.0,-1.0,0,unknown,no
31.0,admin,single,secondary,yes,4,yes,yes,cellular,8,jul,144.0,1.0,-1.0,0,unknown,no
34.0,management,divorced,tertiary,no,2279,yes,yes,cellular,20,apr,138.0,2.0,150.0,4,unknown,no
20.0,student,single,primary,no,134,no,no,cellular,12,jul,273.0,1.0,277.0,3,unknown,no
41.0,management,married,tertiary,no,49,yes,no,cellular,17,jul,312.0,5.0,-1.0,0,unknown,no
36.0,blue-collar,married,secondary,no,1193,no,no,cellular,30,oct,640.0,1.0,-1.0,0,unknown,yes
26.0,blue-collar,single,secondary,no,-29,yes,no,cellular,10,jul,998.0,4.0,-1.0,0,unknown,yes
60.0,admin,married,secondary,no,12980,no,no,cellular,3,sep,177.0,2.0,182.0,1,success,no
35.0,management,single,tertiary,no,2928,yes,no,cellular,18,nov,54.0,1.0,-1.0,0,unknown,no
50.0,housemaid,married,secondary,no,388,no,no,cellular,11,mar,203.0,2.0,-1.0,0,unknown,yes
60.0,retired,married,tertiary,no,3461,no,no,cellular,26,may,94.0,2.0,112.0,2,failure,no
39.0,admin,single,secondary,no,470,yes,no,unknown,20,jun,44.0,2.0,-1.0,0,unknown,no
30.0,blue-collar,single,secondary,yes,4,yes,no,unknown,23,may,84.0,3.0,-1.0,0,unknown,no
54.0,management,married,secondary,no,4080,no,no,unknown,5,may,140.0,1.0,-1.0,0,unknown,no
30.0,blue-collar,single,secondary,no,327,yes,no,telephone,18,may,21.0,2.0,-1.0,0,unknown,no
45.0,admin,married,secondary,no,520,yes,no,unknown,14,may,452.0,1.0,-1.0,0,unknown,no
35.0,technician,married,secondary,no,0,no,no,cellular,28,aug,19.0,14.0,-1.0,0,unknown,no
43.0,management,married,secondary,no,375,yes,no,unknown,6,may,196.0,2.0,-1.0,0,unknown,no
60.0,self-employed,single,secondary,no,312,yes,no,unknown,2,jun,210.0,2.0,-1.0,0,unknown,no
52.0,technician,married,secondary,no,2206,yes,no,unknown,20,jun,20.0,18.0,-1.0,0,unknown,no
55.0,services,divorced,secondary,no,72,yes,yes,unknown,15,may,384.0,4.0,-1.0,0,unknown,no
32.0,services,married,secondary,yes,-684,yes,no,unknown,27,may,298.0,3.0,-1.0,0,unknown,no
40.0,blue-collar,married,secondary,no,178,yes,no,cellular,11,jul,595.0,2.0,-1.0,0,unknown,no
23.0,student,single,secondary,no,287,no,no,telephone,3,mar,700.0,3.0,180.0,1,unknown,no
41.0,technician,divorced,secondary,no,611,yes,no,cellular,28,jul,157.0,5.0,-1.0,0,unknown,no
50.0,blue-collar,married,primary,no,42,yes,no,unknown,4,jun,170.0,3.0,-1.0,0,unknown,no
59.0,technician,married,secondary,no,135,yes,yes,cellular,23,jul,416.0,4.0,-1.0,0,unknown,yes
28.0,admin,married,tertiary,no,153,yes,no,cellular,5,jun,77.0,1.0,-1.0,0,unknown,no
33.0,technician,married,secondary,no,1844,yes,no,unknown,29,may,241.0,3.0,-1.0,0,unknown,no
33.0,technician,married,tertiary,no,15169,yes,no,cellular,20,nov,103.0,1.0,-1.0,0,unknown,no
50.0,services,divorced,secondary,no,256,yes,no,unknown,19,may,316.0,2.0,-1.0,0,unknown,no
34.0,technician,married,secondary,no,0,yes,no,cellular,23,jul,429.0,1.0,-1.0,0,unknown,no
37.0,technician,single,secondary,no,363,yes,no,cellular,21,nov,39.0,4.0,182.0,3,failure,no
32.0,admin,married,secondary,no,167,yes,no,cellular,30,jul,103.0,6.0,-1.0,0,unknown,no
44.0,entrepreneur,married,secondary,no,168,no,no,unknown,19,jun,167.0,2.0,-1.0,0,unknown,no
74.0,retired,married,tertiary,no,1742,no,no,cellular,28,oct,1092.0,1.0,-1.0,0,unknown,no
26.0,management,single,tertiary,no,1274,yes,no,cellular,1,jun,190.0,1.0,84.0,1,failure,no
39.0,blue-collar,married,primary,no,568,yes,no,unknown,21,may,173.0,3.0,-1.0,0,unknown,no
45.0,self-employed,married,secondary,no,571,yes,no,cellular,19,aug,361.0,5.0,-1.0,0,unknown,no
39.0,management,divorced,tertiary,no,1387,yes,no,cellular,14,aug,373.0,2.0,-1.0,0,unknown,no
31.0,services,single,secondary,no,2963,yes,no,unknown,12,may,124.0,1.0,-1.0,0,unknown,no
62.0,housemaid,married,secondary,no,2021,no,no,telephone,26,feb,361.0,1.0,-1.0,0,unknown,yes
36.0,blue-collar,married,secondary,no,873,yes,no,unknown,20,jun,44.0,3.0,-1.0,0,unknown,no
25.0,entrepreneur,married,tertiary,no,38,yes,no,cellular,22,jul,278.0,5.0,40.47597864768683,0,unknown,no
45.0,blue-collar,married,secondary,no,827,yes,no,unknown,15,may,319.0,5.0,-1.0,0,unknown,no
56.0,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212.0,2.0,-1.0,0,unknown,no
38.0,self-employed,married,secondary,no,138,no,no,unknown,9,may,182.0,3.0,-1.0,0,unknown,no
39.0,technician,married,secondary,no,1587,yes,no,cellular,8,sep,108.0,2.0,98.0,3,success,yes
45.0,services,married,secondary,no,22,yes,no,unknown,8,may,209.0,3.0,-1.0,0,unknown,no
58.0,retired,married,secondary,no,1227,no,no,cellular,8,jul,625.0,1.0,156.0,1,failure,no
38.0,admin,married,secondary,no,46,yes,yes,unknown,6,may,195.0,1.0,-1.0,0,unknown,no
31.0,blue-collar,married,primary,no,229,no,no,telephone,8,jul,186.0,2.0,-1.0,0,unknown,no
38.0,services,single,secondary,no,70,yes,no,cellular,15,may,150.0,3.0,-1.0,0,unknown,no
26.0,admin,married,secondary,no,8,yes,yes,cellular,24,jul,46.0,1.0,-1.0,0,unknown,no
58.0,services,married,secondary,no,5087,no,no,unknown,19,jun,135.0,1.0,-1.0,0,unknown,no
46.0,unemployed,single,tertiary,no,705,no,no,cellular,4,feb,398.0,1.0,-1.0,0,unknown,no
42.0,services,married,secondary,no,174,yes,no,cellular,11,may,67.0,1.0,-1.0,0,unknown,no
31.0,admin,married,primary,no,355,yes,yes,unknown,4,jun,61.0,6.0,-1.0,0,unknown,no
49.0,technician,divorced,secondary,no,790,yes,no,cellular,7,aug,324.0,3.0,-1.0,0,unknown,no
40.0,blue-collar,single,secondary,no,1066,yes,no,unknown,21,may,171.0,1.0,-1.0,0,unknown,no
50.0,entrepreneur,married,primary,no,237,yes,yes,unknown,30,may,184.0,4.0,-1.0,0,unknown,no
40.0,management,married,primary,no,1231,yes,yes,unknown,15,may,184.0,2.0,-1.0,0,unknown,no
54.0,technician,married,secondary,no,473,no,yes,cellular,13,aug,112.0,1.0,-1.0,0,unknown,no
42.0,admin,single,secondary,no,684,no,no,cellular,4,jun,207.0,1.0,-1.0,0,unknown,yes
29.0,services,married,secondary,no,10,yes,no,cellular,14,jul,246.0,2.0,-1.0,0,unknown,no
41.0,blue-collar,married,secondary,no,2413,no,no,unknown,16,jun,64.0,3.0,-1.0,0,unknown,no
28.0,technician,single,tertiary,no,875,yes,no,cellular,6,may,55.0,1.0,-1.0,0,unknown,no
33.0,technician,single,tertiary,no,154,no,no,cellular,18,mar,159.0,2.0,-1.0,0,unknown,no
40.0,blue-collar,single,secondary,no,677,yes,no,cellular,17,nov,619.0,1.0,171.0,5,unknown,no
57.0,blue-collar,married,primary,no,162,yes,no,unknown,6,may,155.0,2.0,-1.0,0,unknown,no
52.0,admin,married,secondary,no,5122,no,yes,cellular,7,aug,218.0,7.0,-1.0,0,unknown,no
31.0,technician,married,secondary,no,684,yes,no,cellular,7,dec,620.0,3.0,-1.0,0,unknown,yes
47.0,entrepreneur,married,secondary,no,209,yes,no,unknown,6,may,135.0,2.0,-1.0,0,unknown,no
50.0,technician,married,primary,no,570,no,no,unknown,20,jun,21.0,3.0,-1.0,0,unknown,no
26.0,entrepreneur,single,secondary,no,87,yes,no,cellular,24,jul,225.0,1.0,-1.0,0,unknown,no
57.0,retired,married,secondary,no,256,no,no,cellular,7,aug,198.0,4.0,-1.0,0,unknown,no
45.0,blue-collar,married,primary,no,1945,yes,no,cellular,15,may,63.0,4.0,-1.0,0,unknown,no
35.0,technician,single,secondary,no,175,yes,no,cellular,29,jan,219.0,1.0,246.0,1,failure,no
44.0,management,single,tertiary,no,670,yes,no,cellular,31,jul,435.0,6.0,-1.0,0,unknown,no
31.0,unemployed,married,secondary,no,314,yes,no,unknown,26,may,149.0,7.0,-1.0,0,unknown,no
49.0,blue-collar,divorced,primary,no,24,yes,no,cellular,11,may,701.0,1.0,362.0,1,success,yes
38.0,blue-collar,single,primary,no,162,yes,no,unknown,8,may,200.0,2.0,-1.0,0,unknown,no
29.0,admin,single,secondary,no,171,yes,no,unknown,11,jun,83.0,10.0,-1.0,0,unknown,no
34.0,technician,married,secondary,no,272,yes,no,cellular,4,feb,287.0,1.0,201.0,2,failure,no
26.0,student,single,tertiary,no,255,no,no,cellular,26,may,264.0,2.0,-1.0,0,unknown,no
56.0,retired,married,secondary,yes,101,no,yes,unknown,19,jun,330.0,1.0,-1.0,0,unknown,no
32.0,admin,married,secondary,no,2,yes,no,cellular,25,jul,132.0,5.0,-1.0,0,unknown,no
37.0,management,single,tertiary,no,8066,no,no,telephone,13,aug,57.0,1.0,-1.0,0,unknown,no
52.0,entrepreneur,single,tertiary,no,3469,yes,no,cellular,16,apr,262.55842997323816,1.0,147.0,1,success,yes
58.0,housemaid,married,primary,no,258,no,no,unknown,9,jun,174.0,1.0,-1.0,0,unknown,no
46.0,management,married,secondary,no,790,yes,no,cellular,17,apr,365.0,1.0,-1.0,0,unknown,no
50.0,unemployed,married,secondary,no,1772,no,no,cellular,29,jul,206.0,4.0,-1.0,0,unknown,no
28.0,management,single,secondary,no,311,yes,no,unknown,20,jun,23.0,13.0,-1.0,0,unknown,no
57.0,retired,divorced,secondary,no,39,yes,no,cellular,30,jul,354.0,3.0,-1.0,0,unknown,no
61.0,admin,divorced,tertiary,no,89,no,no,cellular,24,nov,141.0,2.0,95.0,2,unknown,no
40.0,self-employed,married,secondary,no,672,yes,no,unknown,5,may,164.0,2.0,-1.0,0,unknown,no
41.0,admin,divorced,secondary,no,6046,yes,yes,telephone,14,sep,185.0,2.0,-1.0,0,unknown,yes
42.0,blue-collar,married,secondary,no,1260,yes,no,unknown,14,may,79.0,3.0,-1.0,0,unknown,no
36.0,self-employed,married,secondary,no,14,yes,yes,cellular,11,may,210.0,1.0,-1.0,0,unknown,no
26.0,management,single,tertiary,no,1222,no,yes,cellular,11,feb,108.0,1.0,-1.0,0,unknown,no
39.0,blue-collar,single,primary,no,207,no,yes,unknown,16,jun,35.0,3.0,-1.0,0,unknown,no
50.0,services,single,secondary,no,1716,yes,no,cellular,7,apr,272.0,1.0,-1.0,0,unknown,no
56.0,services,married,secondary,no,467,no,yes,telephone,29,jul,105.0,8.0,-1.0,0,unknown,no
37.0,admin,married,secondary,no,1335,yes,no,telephone,3,apr,309.0,4.0,262.0,4,unknown,no
58.0,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,1149.0,2.0,-1.0,0,unknown,yes
32.0,admin,married,secondary,no,901,yes,no,cellular,20,nov,140.0,1.0,-1.0,0,unknown,no
32.0,blue-collar,married,secondary,no,0,yes,yes,unknown,21,may,143.0,2.0,-1.0,0,unknown,no
53.0,blue-collar,divorced,primary,no,235,no,no,cellular,30,jul,241.0,2.0,-1.0,0,unknown,no
27.0,management,married,tertiary,no,342,yes,no,cellular,17,jul,818.0,1.0,-1.0,0,unknown,no
52.0,entrepreneur,divorced,primary,no,278,yes,no,unknown,7,may,688.0,2.0,-1.0,0,unknown,no
37.0,management,married,tertiary,no,1813,yes,no,unknown,21,may,291.0,4.0,-1.0,0,unknown,no
40.0,services,divorced,secondary,no,687,yes,no,cellular,2,feb,531.0,1.0,208.0,1,success,yes
32.0,self-employed,single,tertiary,no,562,yes,yes,cellular,8,apr,84.0,1.0,-1.0,0,unknown,no
35.0,technician,single,secondary,no,2144,yes,no,unknown,13,may,188.0,2.0,-1.0,0,unknown,no
55.0,services,married,secondary,no,96,no,no,telephone,30,jul,340.0,2.0,-1.0,0,unknown,no
46.0,management,divorced,tertiary,no,461,no,no,cellular,10,mar,127.0,1.0,70.0,2,success,no
33.0,blue-collar,single,secondary,no,-38,yes,no,cellular,18,may,184.0,1.0,-1.0,0,unknown,no
40.0,blue-collar,married,primary,no,-322,yes,yes,unknown,6,may,144.0,1.0,-1.0,0,unknown,no
33.0,blue-collar,single,primary,no,910,yes,no,cellular,20,apr,42.0,1.0,-1.0,0,unknown,no
40.0,blue-collar,married,secondary,no,1508,no,no,cellular,3,nov,177.0,2.0,85.0,3,failure,no
26.0,blue-collar,married,secondary,no,242,yes,no,cellular,24,jul,117.0,2.0,-1.0,0,unknown,no
58.0,blue-collar,married,secondary,no,3148,no,yes,cellular,13,aug,57.0,2.0,-1.0,0,unknown,no
47.0,management,married,tertiary,no,3663,no,no,cellular,30,mar,364.0,3.0,-1.0,0,unknown,yes
53.0,self-employed,married,tertiary,no,20,yes,no,cellular,7,aug,218.0,2.0,-1.0,0,unknown,no
40.0,management,divorced,tertiary,no,390,no,no,cellular,29,jul,80.0,3.0,-1.0,0,unknown,no
39.0,blue-collar,married,secondary,no,334,yes,no,telephone,24,jul,575.0,4.0,-1.0,0,unknown,no
32.0,technician,single,tertiary,no,47,yes,no,cellular,3,feb,693.0,7.0,204.0,3,failure,no
58.0,retired,married,secondary,no,3542,yes,no,telephone,29,jul,345.0,17.0,-1.0,0,unknown,no
43.0,management,single,tertiary,no,3872,yes,no,cellular,9,jul,225.0,2.0,-1.0,0,unknown,no
57.0,housemaid,married,primary,no,0,no,no,cellular,20,aug,252.0,3.0,-1.0,0,unknown,no
39.0,technician,married,secondary,no,597,yes,no,unknown,21,may,298.0,2.0,-1.0,0,unknown,no
28.0,admin,single,tertiary,no,422,yes,no,unknown,9,may,274.0,1.0,-1.0,0,unknown,no
36.0,management,married,tertiary,no,708,yes,no,cellular,17,jul,59.0,3.0,-1.0,0,unknown,no
59.0,unemployed,married,secondary,no,561,no,no,telephone,19,oct,323.0,2.0,-1.0,0,unknown,no
28.0,technician,single,secondary,no,1,yes,no,unknown,29,may,364.0,3.0,-1.0,0,unknown,no
51.0,services,married,primary,no,314,yes,yes,telephone,8,may,713.0,3.0,-1.0,0,unknown,no
46.0,services,married,secondary,no,0,no,no,cellular,18,aug,74.0,4.0,-1.0,0,unknown,no
36.0,admin,divorced,secondary,no,-37,yes,no,unknown,27,may,151.0,1.0,-1.0,0,unknown,no
52.0,management,married,tertiary,no,967,no,no,cellular,25,aug,472.0,10.0,-1.0,0,unknown,no
46.0,blue-collar,married,secondary,no,71,yes,no,unknown,6,may,416.0,1.0,-1.0,0,unknown,no
34.0,self-employed,single,tertiary,no,2800,yes,no,unknown,14,may,668.0,1.0,-1.0,0,unknown,no
32.0,admin,married,secondary,no,514,yes,no,unknown,8,may,459.0,1.0,-1.0,0,unknown,no
41.0,blue-collar,married,primary,no,-7,yes,no,cellular,6,may,104.0,2.0,365.0,2,failure,no
31.0,management,married,secondary,no,169,yes,no,unknown,27,may,143.0,1.0,-1.0,0,unknown,no
39.0,blue-collar,married,secondary,no,0,yes,no,cellular,30,apr,53.0,1.0,325.0,1,failure,no
42.0,management,married,tertiary,no,0,no,no,unknown,20,may,66.0,12.0,-1.0,0,unknown,no
35.0,blue-collar,divorced,primary,no,-587,yes,no,unknown,26,may,111.0,1.0,-1.0,0,unknown,no
47.0,management,married,tertiary,no,2473,yes,yes,cellular,31,jul,122.0,2.0,-1.0,0,unknown,no
28.0,technician,single,secondary,no,584,yes,no,cellular,13,may,354.0,1.0,370.0,2,failure,no
46.0,blue-collar,married,secondary,no,-3,yes,no,cellular,29,jan,79.0,2.0,265.0,2,failure,no
54.0,blue-collar,married,primary,no,6812,yes,no,cellular,7,aug,108.0,3.0,-1.0,0,unknown,no
45.0,blue-collar,married,secondary,no,141,yes,yes,unknown,14,may,21.0,10.0,-1.0,0,unknown,no
36.0,services,single,secondary,no,342,yes,no,unknown,7,may,142.0,1.0,-1.0,0,unknown,no
33.0,technician,single,tertiary,no,2164,yes,no,cellular,18,may,8.0,11.0,-1.0,0,unknown,no
36.0,blue-collar,married,secondary,no,2454,yes,no,cellular,6,apr,1859.0,1.0,-1.0,0,unknown,no
54.0,housemaid,married,secondary,no,991,no,no,telephone,31,jul,11.0,6.0,-1.0,0,unknown,no
50.0,entrepreneur,married,tertiary,no,221,yes,no,cellular,20,apr,319.0,2.0,340.0,1,failure,no
53.0,management,married,tertiary,no,1356,yes,no,cellular,5,aug,397.0,2.0,93.0,2,failure,no
74.0,retired,married,tertiary,no,4912,no,no,telephone,21,oct,129.0,3.0,-1.0,0,unknown,no
32.0,management,married,tertiary,no,71,no,no,cellular,6,aug,80.0,3.0,-1.0,0,unknown,no
29.0,services,single,primary,no,339,no,no,unknown,4,jul,1576.0,3.0,-1.0,0,unknown,yes
37.0,blue-collar,single,secondary,no,9306,yes,no,cellular,11,may,603.0,1.0,-1.0,0,unknown,no
44.0,technician,married,secondary,no,7649,no,no,cellular,20,aug,188.0,6.0,-1.0,0,unknown,no
